IBOV - Carteira do Dia 22/04/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.484.859.030;2,183;2,183;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.558.205;0,478;0,478;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.741.172;0,368;2,406;
Bens Indls/Transporte;CCRO3;CCR SA;ON  ED  NM;1.115.693.556;0,718;2,406;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,121;2,406;
Bens Indls/Transporte;GOLL4;GOL;PN  ES  N2;167.095.214;0,128;2,406;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1,071;2,406;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0,033;0,033;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.081.759.800;0,747;3,538;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.290.736.673;2,317;3,538;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON  ED  NM;348.234.011;0,314;3,538;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;254.073.639;0,160;3,538;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.359.908.680;3,005;3,005;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;794.310.097;0,617;1,207;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,418;1,207;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,172;1,207;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON  ED  NM;844.296.775;0,838;0,838;
Consumo Cíclico / Comércio;AMER3;AMERICANAS;ON      NM;571.352.399;0,728;3,476;
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;489.194.623;0,329;3,476;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;979.060.006;1,190;3,476;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0,760;3,476;
